company;year;xtdhcoint;xtdhcoint_1;xtdhcoint_2;time
company01;1935;318;3079;3;1
company01;1936;392;4662;53;2
company01;1937;411;5387;157;3
company01;1938;258;2792;209;4
company01;1939;331;4313;203;5
company01;1940;461;4644;207;6
company01;1941;512;4551;255;7
company01;1942;448;3244;304;8
company01;1943;500;4054;264;9
company01;1944;548;4379;202;10
company01;1945;561;4841;265;11
company01;1946;688;4901;402;12
company01;1947;569;3527;762;13
company01;1948;529;3255;922;14
company01;1949;555;3700;1020;15
company01;1950;643;3756;1099;16
company01;1951;756;4833;1208;17
company01;1952;891;4925;1431;18
company01;1953;1304;6242;1777;19
company01;1954;1487;5594;2226;20
company02;1935;210;1362;54;1
company02;1936;355;1807;51;2
company02;1937;470;2676;118;3
company02;1938;262;1802;260;4
company02;1939;230;1957;313;5
company02;1940;362;2203;254;6
company02;1941;473;2381;261;7
company02;1942;446;2169;299;8
company02;1943;362;1985;302;9
company02;1944;288;1814;279;10
company02;1945;259;1850;214;11
company02;1946;420;2068;133;12
company02;1947;421;1797;265;13
company02;1948;495;1626;307;14
company02;1949;405;1667;351;15
company02;1950;419;1677;358;16
company02;1951;588;2290;342;17
company02;1952;646;2159;444;18
company02;1953;641;2031;624;19
company02;1954;459;2116;670;20
company03;1935;33;1171;98;1
company03;1936;45;2016;104;2
company03;1937;77;2803;118;3
company03;1938;45;2040;156;4
company03;1939;48;2256;173;5
company03;1940;74;2132;187;6
company03;1941;113;1834;221;7
company03;1942;92;1588;288;8
company03;1943;61;1749;320;9
company03;1944;57;1687;321;10
company03;1945;94;2008;320;11
company03;1946;160;2208;346;12
company03;1947;147;1657;456;13
company03;1948;146;1604;543;14
company03;1949;98;1432;618;15
company03;1950;94;1611;647;16
company03;1951;135;1819;671;17
company03;1952;157;2080;726;18
company03;1953;180;2372;800;19
company03;1954;190;2760;889;20
company04;1935;40;418;11;1
company04;1936;73;838;10;2
company04;1937;66;884;35;3
company04;1938;52;438;52;4
company04;1939;52;680;64;5
company04;1940;69;728;67;6
company04;1941;68;644;75;7
company04;1942;47;411;71;8
company04;1943;47;588;67;9
company04;1944;60;698;61;10
company04;1945;89;846;55;11
company04;1946;74;894;85;12
company04;1947;63;579;97;13
company04;1948;89;695;110;14
company04;1949;79;590;147;15
company04;1950;101;694;163;16
company04;1951;161;809;204;17
company04;1952;145;727;291;18
company04;1953;175;1002;346;19
company04;1954;172;703;415;20
company05;1935;40;158;183;1
company05;1936;51;168;204;2
company05;1937;74;193;236;3
company05;1938;54;157;292;4
company05;1939;43;191;323;5
company05;1940;46;186;344;6
company05;1941;61;200;368;7
company05;1942;40;190;407;8
company05;1943;62;151;427;9
company05;1944;52;188;470;10
company05;1945;63;215;499;11
company05;1946;59;233;535;12
company05;1947;58;249;567;13
company05;1948;70;225;595;14
company05;1949;67;237;631;15
company05;1950;56;240;662;16
company05;1951;80;327;684;17
company05;1952;85;359;729;18
company05;1953;92;398;774;19
company05;1954;81;366;805;20
company06;1935;20;197;7;1
company06;1936;26;210;16;2
company06;1937;26;223;28;3
company06;1938;28;217;39;4
company06;1939;25;286;49;5
company06;1940;29;298;53;6
company06;1941;43;277;62;7
company06;1942;43;273;81;8
company06;1943;28;287;94;9
company06;1944;33;330;93;10
company06;1945;39;324;92;11
company06;1946;50;402;94;12
company06;1947;52;407;111;13
company06;1948;64;409;127;14
company06;1949;68;482;149;15
company06;1950;77;674;164;16
company06;1951;95;677;177;17
company06;1952;99;702;200;18
company06;1953;128;794;212;19
company06;1954;136;927;239;20
company07;1935;24;138;100;1
company07;1936;23;200;125;2
company07;1937;33;210;142;3
company07;1938;33;161;165;4
company07;1939;27;162;195;5
company07;1940;34;145;223;6
company07;1941;44;111;252;7
company07;1942;34;98;276;8
company07;1943;44;109;300;9
company07;1944;71;118;318;10
company07;1945;44;127;336;11
company07;1946;49;157;351;12
company07;1947;49;119;374;13
company07;1948;50;129;389;14
company07;1949;51;135;407;15
company07;1950;43;141;430;16
company07;1951;65;179;451;17
company07;1952;73;178;467;18
company07;1953;74;187;486;19
company07;1954;90;193;511;20
company08;1935;13;192;2;1
company08;1936;26;516;1;2
company08;1937;35;729;7;3
company08;1938;23;560;18;4
company08;1939;19;520;24;5
company08;1940;29;629;27;6
company08;1941;49;537;36;7
company08;1942;43;561;61;8
company08;1943;37;617;84;9
company08;1944;38;627;91;10
company08;1945;39;737;92;11
company08;1946;53;761;86;12
company08;1947;56;581;111;13
company08;1948;50;662;131;14
company08;1949;32;584;142;15
company08;1950;32;635;137;16
company08;1951;54;724;130;17
company08;1952;72;864;146;18
company08;1953;90;1194;175;19
company08;1954;69;1189;214;20
company09;1935;27;291;162;1
company09;1936;23;291;174;2
company09;1937;31;335;183;3
company09;1938;21;246;198;4
company09;1939;29;356;208;5
company09;1940;27;290;223;6
company09;1941;32;268;234;7
company09;1942;32;213;248;8
company09;1943;36;348;274;9
company09;1944;62;374;282;10
company09;1945;52;387;316;11
company09;1946;57;347;302;12
company09;1947;54;292;333;13
company09;1948;41;297;359;14
company09;1949;33;277;370;15
company09;1950;43;275;376;16
company09;1951;56;340;391;17
company09;1952;66;475;414;18
company09;1953;66;496;443;19
company09;1954;49;475;468;20
company010;1935;3;71;5;1
company010;1936;2;88;5;2
company010;1937;2;82;5;3
company010;1938;2;59;5;4
company010;1939;2;81;4;5
company010;1940;2;86;4;6
company010;1941;2;78;4;7
company010;1942;2;62;4;8
company010;1943;1;62;4;9
company010;1944;1;62;3;10
company010;1945;1;66;3;11
company010;1946;2;70;3;12
company010;1947;4;65;4;13
company010;1948;6;68;5;14
company010;1949;4;71;7;15
company010;1950;3;69;9;16
company010;1951;5;83;9;17
company010;1952;6;74;10;18
company010;1953;7;64;12;19
company010;1954;5;58;14;20
